Repository,Commits
Deep-Learning,11
Python-Various-Useful,5
django_blog,3
django_ecommerce,3
Python-TaskManager,6
ML-Selector,32
Self-Driving-Car,4
Hadoop-Various-Scripts,15
Apache-Spark-with-Python,7
Deep-Learning-Foundations,4
LeanCoin-Mining,26
Web-scraping-with-BS4,12
Django-REST,18
cloudml,21
Deep-Learning-with-Tensorflow,23
Deep-Learning-with-PyTorch,3
ChatBot,19
ML-Library,46
Machine-Learning-Dashboard,69
A.I.-Sommelier,48
Data-Loader,15
Project-Gamification-with-Django,184
Linkedin-Analytics,27
Springboard-Insights,57
Scrapy-Collection,47
Data-Dashboard-with-JS,11
Keras-IBM,2
Python_ETL,1
Cat-vs.-Dog-Classifier,14
Data-Labs-with-Python-Tableau,117
